,Success,Fail,Views,FailAvgDuration,SuccessAvgDuration,TotalAvgDuration,Start_Time,End_Time,AvgSessionDuration,Sessions,RatioFS,RatioFV,DTW_FV,DTW_SV,DTW_FS
5.0.302.270 (production#bc7f456.160202-1806),9083,1440,8634,9327.14453125,4454.76708984375,4589.5458984375,2016-02-03,2016-03-01,1743.2568359375,1182,0.15853791054300226,0.16678246852183592,0.8176186950394362,0.36928094900633107,1.0920784561818355
5.0.302.268 (production#375c47e.160202-0901),60228,9508,46670,68332.796875,9400.818359375,10410.1533203125,2016-02-03,2016-02-18,2457.78955078125,5723,0.15786677030838198,0.20372830075576814,0.2551315564432758,0.07953674250918942,0.20170189155606416
5.0.302.267 (production#ff0a7a7.160129-1259),205878,29624,142152,52598.30859375,9314.6279296875,11902.630859375,2016-01-30,2016-02-22,2270.455322265625,19242,0.1438910415688367,0.2083966443778727,0.20189942991963725,0.08780096586275936,0.17204946784557518
5.0.302.252 (production#2dba53c.160115-0103),15107,1056,9440,926.460205078125,30.381614685058594,97.5959930419922,2016-01-15,2016-01-27,2474.9833984375,1137,0.06990136559863867,0.11186439492961918,0.5052225012179,0.10461319733608493,0.38954672288986514
5.0.302.266 (production#0ab057d.160128-1800),17240,321,8195,9289.3583984375,526.8652954101561,570.5662841796875,2016-01-29,2016-02-07,2321.615478515625,1272,0.018619488479148,0.03917022096763625,0.918716976241067,0.2275519192123621,0.8563017204768905
5.0.302.284 (production#384b804.160222-1016),575,9,825,363.3333435058594,30.27777862548828,30.27777862548828,2016-02-22,2016-02-25,1637.7259521484375,84,0.0156521466919188,0.010909077685966441,4.504331684537023,0.19596670370888947,4.517349112934688
5.0.302.273 (production#e4eae2d.160204-1555),1829,26,5178,32597.5,2760.700439453125,2760.700439453125,2016-02-05,2016-02-12,515.1050415039061,300,0.014215410489114002,0.005021242753719051,0.8973191866060262,0.6992292534206607,0.7669776721147126
5.0.302.126 (production#a136d92.151006-1045),102508,1250,47802,96103.078125,68390.8046875,68037.9609375,2015-10-05,2015-10-13,1827.9349365234373,4157,0.012194170092147244,0.026149532945284028,0.19352410016912852,0.10723660139538321,0.20810862246244177
5.0.302.127 (production#e39601a.151007-1353),103114,1099,58404,17548.10546875,9918.322265625,9817.259765625,2015-10-07,2015-10-14,1710.5689697265625,4246,0.010658106458307249,0.01881720397888494,0.17780859321684067,0.12226431276057932,0.19195132543702303
5.0.302.121 (production#a34f776.150929-1031),112364,964,47129,19231.4296875,91.34864044189452,191.83204650878903,2015-10-01,2015-10-09,2336.363037109375,3998,0.00857926018494126,0.020454496796993432,0.6701395830748468,0.06269398896897987,0.6939626925796487
5.0.302.261 (production#c8da84b.160126-0937),65180,545,44867,20667.033203125,3716.34130859375,3502.89599609375,2016-01-26,2016-02-12,1299.38671875,5303,0.008361460442444608,0.012147012010007088,0.4111592160630037,0.12375125865638507,0.48112659070611824
5.0.302.276 (production#003ab99.160209-1542),129585,1012,159753,13266.3623046875,25215.306640625,25216.654296875,2016-02-09,2016-02-19,633.3134155273438,16941,0.00780954579766527,0.006334779275914824,0.7663625203164268,0.06353027208343144,0.7504502830622182
5.0.302.262 (production#cb4d344.160126-1510),18947,143,13204,11931.083984375,2281.988037109375,2280.87255859375,2016-01-26,2016-02-11,1147.2352294921875,1666,0.0075473685782779035,0.010830050679335757,0.37199554722211053,0.12774540172577695,0.40235322097890935
5.0.302.263 (production#395a8f5.160127-1312),82985,615,52765,13123.779296875,12125.2392578125,12125.201171875,2016-01-27,2016-02-26,1679.6358642578125,6956,0.007410977798265014,0.011655453204672544,0.349657015740684,0.11715609415809118,0.3664585293823758
5.0.302.283 (production#6147f30.160218-1327),238153,1756,267943,11078.5458984375,1329.6973876953125,1377.5009765625,2016-02-19,2016-03-01,594.5137329101562,32662,0.007373411179479531,0.006553632651147325,0.731990114004908,0.10497489636102827,0.7286883806894148
5.0.302.279 (production#326482c.160212-0932),5553,40,6852,8470.150390625,29.096399307250977,114.8450927734375,2016-02-12,2016-02-18,394.3670349121094,882,0.007203312227028231,0.005837710765074318,0.8632398060219787,0.1085002615174599,0.8691670749822253
5.0.302.274 (production#fcc9ed3.160205-1028),104744,736,120407,0.0,17857.70703125,17858.77734375,2016-02-04,2016-02-14,483.070556640625,14292,0.007026655397668073,0.006112601376061181,0.5838347142740343,0.09233831557750098,0.5796332507849559
5.0.302.247 (production#9f7c333.160108-1046),142372,989,125757,8954.849609375,2710.34033203125,2710.429931640625,2016-01-08,2016-01-26,965.3192138671876,15955,0.006946590572959637,0.007864373292426079,0.4537390656844513,0.08972306654044403,0.461560171285632
5.0.302.248 (production#965f50e.160112-1056),54363,377,46126,13849.9814453125,4488.546875,4485.177734375,2016-01-12,2016-01-23,839.8749389648438,5817,0.006934863658465066,0.008173264359075916,0.4669679553275835,0.08562517740589344,0.4602755818478168
5.0.302.246 (production#0fbefa3.160107-1231),51053,341,37534,7881.37548828125,11.751934051513672,68.39185333251953,2016-01-08,2016-01-16,1236.621826171875,4539,0.0066793331110937045,0.009085095937414188,0.38392351197319274,0.09593963052776826,0.4096621785640237
5.0.302.256 (production#45a55ea.160119-1903),137992,920,93103,10253.5322265625,89.80763244628906,157.97064208984375,2016-01-21,2016-02-14,2385.986083984375,11545,0.006667053114187396,0.009881528953078537,0.6634178371946344,0.0888886717054251,0.6686256106893363
5.0.302.275 (production#a4c1510.160205-1726),10455,67,11917,9572.1494140625,85.8836898803711,109.0147933959961,2016-02-09,2016-02-14,417.1787414550781,1425,0.006408416412394413,0.005622219885691039,0.934896881843327,0.08670723432599522,0.9378101130845242
5.0.302.147 (production#914e95b.151021-2308),408575,2527,85018,107760.25,7296.4951171875,7080.07568359375,2015-10-21,2016-01-02,1545.6314697265625,11645,0.006184910955920184,0.029723117107869894,0.695885352396749,0.4043394125824107,0.6707503920930183
5.0.302.134 (production#cd90641.151013-1739),2068,12,935,8714.25,1.2416787147521973,75.3393325805664,2015-10-14,2015-10-18,1471.828125,97,0.005802705124417251,0.012834210872501741,1.0446046374700577,0.1561245946561853,1.0365761883521174
5.0.302.250 (production#a580e53.160114-1258),36739,210,38285,20985.947265625,7049.29931640625,7017.59375,2016-01-14,2016-01-22,488.53448486328125,5004,0.005715996469256201,0.005485176818984542,0.5195893554749271,0.07049782280546267,0.5253142706854024
5.0.302.286 (production#d9693cf.160224-1622),138959,794,155108,13839.9833984375,356.39404296875,415.0467224121094,2016-02-25,2016-03-01,721.0299072265625,19546,0.005713915574277913,0.005119013815412398,0.5116050753029823,0.08835391192738505,0.5005672739564964
5.0.302.280 (production#56b7a84.160212-1535),119327,677,136600,17233.525390625,11262.263671875,11261.2607421875,2016-02-12,2016-02-20,638.2534790039062,16710,0.005673485416766654,0.004956076098418184,0.5033071416674336,0.0661835034700399,0.4859541810752328
